io_fixed_freq,io_fixed_trans,io_jump_freq,io_jump_trans,random,rw
2.06766308104348e-05,1.05785458114484e-07,0.85437691067894,0.139036560415377,0.00230264963155182,0.00426309685786259
7.64016299027897e-07,2.73440552721687e-08,0.870139447995009,0.0146173813482105,0.115009464323493,0.000232914972932724
1.24419909560107e-08,2.29642931150539e-06,0.0159208994136167,0.984044438589561,8.0723302470192e-08,3.22724022178731e-05
4.85839103935028e-09,1.55307083924965e-07,0.00050306294496421,0.999431832919329,1.77104918330589e-08,6.49262597395233e-05
8.37128888156982e-07,1.65443269744519e-07,0.911361889892012,0.057545924383219,0.0301190915033554,0.000972091649255581
3.69042322780264e-11,1.19595090365898e-08,1.97453660827872e-05,0.999832908079192,2.51705060233719e-14,0.000147334558286562
3.84026599757708e-06,1.87850658972557e-09,0.633172166776057,0.00273449530207435,0.000801320454891642,0.363288175322473
6.66742372882135e-06,6.75795142445819e-10,0.988490072449585,0.000278434227719538,0.0112176833698747,7.14185329659217e-06
5.79002428104004e-07,1.51108300223011e-06,0.38621060584464,0.592503425278856,0.012572398923098,0.00871147986797568
6.5457253359029e-07,6.01797603368634e-07,0.708560205973906,0.202878648620464,0.0756606421010031,0.0128992469344897
8.34078266146546e-07,2.96267809438021e-09,0.99091386388309,0.000778795176773576,0.000459996699972763,0.00784650719921978
5.90444764641699e-08,1.77664192925348e-05,0.0153876112987045,0.982552904038303,0.000274974936982329,0.00176668426224085
5.06163173762527e-08,5.14085323416181e-09,0.837203722315291,0.00749883537406357,0.155129820858297,0.000167565695178141
3.34717209560679e-07,3.99108834156832e-07,0.554771508492998,0.398615982207592,0.0287630397883052,0.0178487356850608
1.2934649329855e-05,4.04810325453017e-07,0.922425927865581,0.0746529147198066,0.00273636582730721,0.000171452127649536
9.27813016703942e-08,7.88474493213534e-07,0.0612616238871316,0.892425680250544,1.09157637421488e-06,0.0463107230301553
6.88581477007036e-08,2.1844454213858e-06,0.333175828426249,0.624645209716097,0.0237719460941297,0.0184047624599559
1.79788130270087e-06,1.36469482237989e-06,0.657596703648188,0.307165270344038,0.0106329329157004,0.0246019305159485
2.96008069284306e-08,5.46082424008317e-07,0.00915676255453663,0.985264842948476,5.82000686372723e-07,0.00557723681306959
1.71370940086759e-06,3.69208927474518e-07,0.636549737887095,0.28536961013408,0.00688670543895048,0.0711918636215458
5.50561959666944e-07,2.42484223171966e-10,0.99739851039565,0.000363894854118369,0.00011478978788885,0.00212225415789903
1.43105803879367e-06,8.16094038792522e-07,0.321633582749893,0.566651452592004,0.00117860875234778,0.110534108753677
8.87484790578758e-07,2.06203902372652e-06,0.131357466006827,0.76413272455721,0.00110745453874971,0.103399405373399
3.37443203612953e-08,1.03373320376715e-09,0.865622810809401,0.134376968216044,3.8141923357336e-08,1.48054578249164e-07
2.48579936159149e-07,6.62711648971943e-08,0.847055709472692,0.0566636387242382,0.0947854705028775,0.0014948664490908
1.22235553254765e-06,2.21326379030673e-07,0.872812469871632,0.0854423023140107,0.0401830655552935,0.00156071857715189
1.28323456842339e-10,7.03064287426091e-12,0.537007400682685,6.84097267122621e-05,0.462924161657015,2.7798233682894e-08
3.71929703013921e-07,3.01456105623705e-08,0.96252134684982,0.0129404865883153,0.024511532410094,2.62320764569846e-05
1.16188339591947e-06,1.68948982052702e-08,0.965413371561822,0.0126939375340691,0.00986965913642027,0.0120218529893945
6.18219254748018e-08,6.96881874978023e-07,0.39599427523921,0.591375120838143,1.90870562002599e-05,0.0126107581626464
4.05714244742799e-06,1.65572942439149e-06,0.655078796768272,0.261227410038566,0.0643922657227569,0.0192958145985331
2.74788684436374e-07,1.68680352840388e-08,0.869349210524708,0.0143350054628669,0.115944284346146,0.000371208009559556
1.21045852852338e-09,2.33289727603046e-14,0.761104758854316,2.18290608703304e-08,0.238895218105682,4.59034279677572e-13
1.36372579107194e-07,4.60058163281713e-06,0.437946084109024,0.147055950442648,0.0466850104050677,0.368308218089049
1.57989716236187e-06,5.77878374008958e-07,0.106556655227431,0.871757668613946,1.66278745755823e-07,0.0216833521043409
